 ***************** NODAL INFORMATION for MAIZSIM *******************************************************
	Node	Nh	Ch	Nm	Nl	Cl	Cm	NH4	NO3	Tmpr	hNew	RTWT
	1	2242.45	26012.42	0.00	0.00	0.00	0.00	0.00	253.30	23.00	0.31	0.000000
	2	2242.45	26012.42	0.00	0.00	0.00	0.00	0.00	253.30	23.00	0.31	0.000000
	3	2242.45	26012.42	0.00	0.00	0.00	0.00	0.00	253.30	23.00	0.31	0.000000
	4	2242.45	26012.42	0.00	0.00	0.00	0.00	0.00	253.30	23.00	0.31	0.000000
	5	2242.45	26012.42	0.00	0.00	0.00	0.00	0.00	253.30	23.00	0.31	0.000000
	6	2242.45	26012.42	0.00	0.00	0.00	0.00	0.00	253.30	23.00	0.31	0.000000
	7	2242.45	26012.42	0.00	0.00	0.00	0.00	0.00	253.30	23.00	0.31	0.000000
	8	2242.45	26012.42	0.00	0.00	0.00	0.00	0.00	253.30	23.00	0.31	0.000000
	9	2242.45	26012.42	0.00	0.00	0.00	0.00	0.00	253.30	23.00	0.31	0.000000
	10	2242.45	26012.42	0.00	0.00	0.00	0.00	0.00	253.30	23.00	0.31	0.000000
	11	2240.95	25994.96	0.00	0.00	0.00	0.00	0.00	253.13	23.00	0.31	0.000000
	12	2240.95	25994.96	0.00	0.00	0.00	0.00	0.00	253.13	23.00	0.31	0.000000
	13	2240.95	25994.96	0.00	0.00	0.00	0.00	0.00	253.13	23.00	0.31	0.000000
	14	2240.95	25994.96	0.00	0.00	0.00	0.00	0.00	253.13	23.00	0.31	0.000000
	15	2240.95	25994.96	0.00	0.00	0.00	0.00	0.00	253.13	23.00	0.31	0.000000
	16	2240.95	25994.96	0.00	0.00	0.00	0.00	0.00	253.13	23.00	0.31	0.000000
	17	2240.95	25994.96	0.00	0.00	0.00	0.00	0.00	253.13	23.00	0.31	0.000000
	18	2240.95	25994.96	0.00	0.00	0.00	0.00	0.00	253.13	23.00	0.31	0.000000
	19	2240.95	25994.96	0.00	0.00	0.00	0.00	0.00	253.13	23.00	0.31	0.000000
	20	2240.95	25994.96	0.00	0.00	0.00	0.00	0.00	253.13	23.00	0.31	0.000000
	21	2239.44	25977.50	0.00	0.00	0.00	0.00	0.00	252.96	23.00	0.31	0.000000
	22	2239.44	25977.50	0.00	0.00	0.00	0.00	0.00	252.96	23.00	0.31	0.000000
	23	2239.44	25977.50	0.00	0.00	0.00	0.00	0.00	252.96	23.00	0.31	0.000000
	24	2239.44	25977.50	0.00	0.00	0.00	0.00	0.00	252.96	23.00	0.31	0.000000
	25	2239.44	25977.50	0.00	0.00	0.00	0.00	0.00	252.96	23.00	0.31	0.000000
	26	2239.44	25977.50	0.00	0.00	0.00	0.00	0.00	252.96	23.00	0.31	0.000000
	27	2239.44	25977.50	0.00	0.00	0.00	0.00	0.00	252.96	23.00	0.31	0.000000
	28	2239.44	25977.50	0.00	0.00	0.00	0.00	0.00	252.96	23.00	0.31	0.000000
	29	2239.44	25977.50	0.00	0.00	0.00	0.00	0.00	252.96	23.00	0.31	0.000000
	30	2239.44	25977.50	0.00	0.00	0.00	0.00	0.00	252.96	23.00	0.31	0.000000
	31	2234.93	25925.13	0.00	0.00	0.00	0.00	0.00	252.45	23.00	0.31	0.000000
	32	2234.93	25925.13	0.00	0.00	0.00	0.00	0.00	252.45	23.00	0.31	0.000000
	33	2234.93	25925.13	0.00	0.00	0.00	0.00	0.00	252.45	23.00	0.31	0.000000
	34	2234.93	25925.13	0.00	0.00	0.00	0.00	0.00	252.45	23.00	0.31	0.000000
	35	2234.93	25925.13	0.00	0.00	0.00	0.00	0.00	252.45	23.00	0.31	0.000000
	36	2234.93	25925.13	0.00	0.00	0.00	0.00	0.00	252.45	23.00	0.31	0.000000
	37	2234.93	25925.13	0.00	0.00	0.00	0.00	0.00	252.45	23.00	0.31	0.000000
	38	2234.93	25925.13	0.00	0.00	0.00	0.00	0.00	252.45	23.00	0.31	0.000000
	39	2234.93	25925.13	0.00	0.00	0.00	0.00	0.00	252.45	23.00	0.31	0.000000
	40	2234.93	25925.13	0.00	0.00	0.00	0.00	0.00	252.45	23.00	0.31	0.000000
	41	2230.41	25872.76	0.00	0.00	0.00	0.00	0.00	251.94	23.00	0.30	0.000000
	42	2230.41	25872.76	0.00	0.00	0.00	0.00	0.00	251.94	23.00	0.30	0.000000
	43	2230.41	25872.76	0.00	0.00	0.00	0.00	0.00	251.94	23.00	0.30	0.000000
	44	2230.41	25872.76	0.00	0.00	0.00	0.00	0.00	251.94	23.00	0.30	0.000000
	45	2230.41	25872.76	0.00	0.00	0.00	0.00	0.00	251.94	23.00	0.30	0.000000
	46	2230.41	25872.76	0.00	0.00	0.00	0.00	0.00	251.94	23.00	0.30	0.000000
	47	2230.41	25872.76	0.00	0.00	0.00	0.00	0.00	251.94	23.00	0.30	0.000000
	48	2230.41	25872.76	0.00	0.00	0.00	0.00	0.00	251.94	23.00	0.30	0.000000
	49	2230.41	25872.76	0.00	0.00	0.00	0.00	0.00	251.94	23.00	0.30	0.000000
	50	2230.41	25872.76	0.00	0.00	0.00	0.00	0.00	251.94	23.00	0.30	0.000000
	51	2227.40	25837.84	0.00	0.00	0.00	0.00	0.00	251.60	23.00	0.30	0.000000
	52	2227.40	25837.84	0.00	0.00	0.00	0.00	0.00	251.60	23.00	0.30	0.000000
	53	2227.40	25837.84	0.00	0.00	0.00	0.00	0.00	251.60	23.00	0.30	0.000000
	54	2227.40	25837.84	0.00	0.00	0.00	0.00	0.00	251.60	23.00	0.30	0.000000
	55	2227.40	25837.84	0.00	0.00	0.00	0.00	0.00	251.60	23.00	0.30	0.000000
	56	2227.40	25837.84	0.00	0.00	0.00	0.00	0.00	251.60	23.00	0.30	0.000000
	57	2227.40	25837.84	0.00	0.00	0.00	0.00	0.00	251.60	23.00	0.30	0.000000
	58	2227.40	25837.84	0.00	0.00	0.00	0.00	0.00	251.60	23.00	0.30	0.000000
	59	2227.40	25837.84	0.00	0.00	0.00	0.00	0.00	251.60	23.00	0.30	0.000000
	60	2227.40	25837.84	0.00	0.00	0.00	0.00	0.00	251.60	23.00	0.30	0.000000
	61	2194.01	25450.51	0.00	0.00	0.00	0.00	0.00	250.69	23.00	0.30	0.000000
	62	2194.01	25450.51	0.00	0.00	0.00	0.00	0.00	250.69	23.00	0.30	0.000000
	63	2194.01	25450.51	0.00	0.00	0.00	0.00	0.00	250.69	23.00	0.30	0.000000
	64	2194.01	25450.51	0.00	0.00	0.00	0.00	0.00	250.69	23.00	0.30	0.000000
	65	2194.01	25450.51	0.00	0.00	0.00	0.00	0.00	250.69	23.00	0.30	0.000000
	66	2194.01	25450.51	0.00	0.00	0.00	0.00	0.00	250.69	23.00	0.30	0.000000
	67	2194.01	25450.51	0.00	0.00	0.00	0.00	0.00	250.69	23.00	0.30	0.000000
	68	2194.01	25450.51	0.00	0.00	0.00	0.00	0.00	250.69	23.00	0.30	0.000000
	69	2194.01	25450.51	0.00	0.00	0.00	0.00	0.00	250.69	23.00	0.30	0.000000
	70	2194.01	25450.51	0.00	0.00	0.00	0.00	0.00	250.69	23.00	0.30	0.000000
	71	2144.27	24873.49	0.00	0.00	0.00	0.00	0.00	249.33	23.00	0.30	0.000000
	72	2144.27	24873.49	0.00	0.00	0.00	0.00	0.00	249.33	23.00	0.30	0.000000
	73	2144.27	24873.49	0.00	0.00	0.00	0.00	0.00	249.33	23.00	0.30	0.000000
	74	2144.27	24873.49	0.00	0.00	0.00	0.00	0.00	249.33	23.00	0.30	0.000000
	75	2144.27	24873.49	0.00	0.00	0.00	0.00	0.00	249.33	23.00	0.30	0.000000
	76	2144.27	24873.49	0.00	0.00	0.00	0.00	0.00	249.33	23.00	0.30	0.000000
	77	2144.27	24873.49	0.00	0.00	0.00	0.00	0.00	249.33	23.00	0.30	0.000000
	78	2144.27	24873.49	0.00	0.00	0.00	0.00	0.00	249.33	23.00	0.30	0.000000
	79	2144.27	24873.49	0.00	0.00	0.00	0.00	0.00	249.33	23.00	0.30	0.000000
	80	2144.27	24873.49	0.00	0.00	0.00	0.00	0.00	249.33	23.00	0.30	0.000000
	81	2094.94	24301.27	0.00	0.00	0.00	0.00	0.00	247.97	23.00	0.28	0.000000
	82	2094.94	24301.27	0.00	0.00	0.00	0.00	0.00	247.97	23.00	0.28	0.000000
	83	2094.94	24301.27	0.00	0.00	0.00	0.00	0.00	247.97	23.00	0.28	0.000000
	84	2094.94	24301.27	0.00	0.00	0.00	0.00	0.00	247.97	23.00	0.28	0.000000
	85	2094.94	24301.27	0.00	0.00	0.00	0.00	0.00	247.97	23.00	0.28	0.000000
	86	2094.94	24301.27	0.00	0.00	0.00	0.00	0.00	247.97	23.00	0.28	0.000000
	87	2094.94	24301.27	0.00	0.00	0.00	0.00	0.00	247.97	23.00	0.28	0.000000
	88	2094.94	24301.27	0.00	0.00	0.00	0.00	0.00	247.97	23.00	0.28	0.000000
	89	2094.94	24301.27	0.00	0.00	0.00	0.00	0.00	247.97	23.00	0.28	0.000000
	90	2094.94	24301.27	0.00	0.00	0.00	0.00	0.00	247.97	23.00	0.28	0.000000
	91	2046.02	23733.84	0.00	0.00	0.00	0.00	0.00	246.61	23.00	0.28	0.000000
	92	2046.02	23733.84	0.00	0.00	0.00	0.00	0.00	246.61	23.00	0.28	0.000000
	93	2046.02	23733.84	0.00	0.00	0.00	0.00	0.00	246.61	23.00	0.28	0.000000
	94	2046.02	23733.84	0.00	0.00	0.00	0.00	0.00	246.61	23.00	0.28	0.000000
	95	2046.02	23733.84	0.00	0.00	0.00	0.00	0.00	246.61	23.00	0.28	0.000000
	96	2046.02	23733.84	0.00	0.00	0.00	0.00	0.00	246.61	23.00	0.28	0.000000
	97	2046.02	23733.84	0.00	0.00	0.00	0.00	0.00	246.61	23.00	0.28	0.000000
	98	2046.02	23733.84	0.00	0.00	0.00	0.00	0.00	246.61	23.00	0.28	0.000000
	99	2046.02	23733.84	0.00	0.00	0.00	0.00	0.00	246.61	23.00	0.28	0.000000
	100	2046.02	23733.84	0.00	0.00	0.00	0.00	0.00	246.61	23.00	0.28	0.000000
	101	1981.44	22984.70	0.00	0.00	0.00	0.00	0.00	244.80	23.00	0.28	0.000000
	102	1981.44	22984.70	0.00	0.00	0.00	0.00	0.00	244.80	23.00	0.28	0.000000
	103	1981.44	22984.70	0.00	0.00	0.00	0.00	0.00	244.80	23.00	0.28	0.000000
	104	1981.44	22984.70	0.00	0.00	0.00	0.00	0.00	244.80	23.00	0.28	0.000000
	105	1981.44	22984.70	0.00	0.00	0.00	0.00	0.00	244.80	23.00	0.28	0.000000
	106	1981.44	22984.70	0.00	0.00	0.00	0.00	0.00	244.80	23.00	0.28	0.000000
	107	1981.44	22984.70	0.00	0.00	0.00	0.00	0.00	244.80	23.00	0.28	0.000000
	108	1981.44	22984.70	0.00	0.00	0.00	0.00	0.00	244.80	23.00	0.28	0.000000
	109	1981.44	22984.70	0.00	0.00	0.00	0.00	0.00	244.80	23.00	0.28	0.000000
	110	1981.44	22984.70	0.00	0.00	0.00	0.00	0.00	244.80	23.00	0.28	0.000000
	111	1921.17	22285.59	0.00	0.00	0.00	0.00	0.00	232.16	23.00	0.28	0.000000
	112	1921.17	22285.59	0.00	0.00	0.00	0.00	0.00	232.16	23.00	0.28	0.000000
	113	1921.17	22285.59	0.00	0.00	0.00	0.00	0.00	232.16	23.00	0.28	0.000000
	114	1921.17	22285.59	0.00	0.00	0.00	0.00	0.00	232.16	23.00	0.28	0.000000
	115	1921.17	22285.59	0.00	0.00	0.00	0.00	0.00	232.16	23.00	0.28	0.000000
	116	1921.17	22285.59	0.00	0.00	0.00	0.00	0.00	232.16	23.00	0.28	0.000000
	117	1921.17	22285.59	0.00	0.00	0.00	0.00	0.00	232.16	23.00	0.28	0.000000
	118	1921.17	22285.59	0.00	0.00	0.00	0.00	0.00	232.16	23.00	0.28	0.000000
	119	1921.17	22285.59	0.00	0.00	0.00	0.00	0.00	232.16	23.00	0.28	0.000000
	120	1921.17	22285.59	0.00	0.00	0.00	0.00	0.00	232.16	23.00	0.28	0.000000
	121	1876.33	21765.44	0.00	0.00	0.00	0.00	0.00	222.68	23.00	0.28	0.000000
	122	1876.33	21765.44	0.00	0.00	0.00	0.00	0.00	222.68	23.00	0.28	0.000000
	123	1876.33	21765.44	0.00	0.00	0.00	0.00	0.00	222.68	23.00	0.28	0.000000
	124	1876.33	21765.44	0.00	0.00	0.00	0.00	0.00	222.68	23.00	0.28	0.000000
	125	1876.33	21765.44	0.00	0.00	0.00	0.00	0.00	222.68	23.00	0.28	0.000000
	126	1876.33	21765.44	0.00	0.00	0.00	0.00	0.00	222.68	23.00	0.28	0.000000
	127	1876.33	21765.44	0.00	0.00	0.00	0.00	0.00	222.68	23.00	0.28	0.000000
	128	1876.33	21765.44	0.00	0.00	0.00	0.00	0.00	222.68	23.00	0.28	0.000000
	129	1876.33	21765.44	0.00	0.00	0.00	0.00	0.00	222.68	23.00	0.28	0.000000
	130	1876.33	21765.44	0.00	0.00	0.00	0.00	0.00	222.68	23.00	0.28	0.000000
	131	1831.80	21248.88	0.00	0.00	0.00	0.00	0.00	213.20	23.00	0.28	0.000000
	132	1831.80	21248.88	0.00	0.00	0.00	0.00	0.00	213.20	23.00	0.28	0.000000
	133	1831.80	21248.88	0.00	0.00	0.00	0.00	0.00	213.20	23.00	0.28	0.000000
	134	1831.80	21248.88	0.00	0.00	0.00	0.00	0.00	213.20	23.00	0.28	0.000000
	135	1831.80	21248.88	0.00	0.00	0.00	0.00	0.00	213.20	23.00	0.28	0.000000
	136	1831.80	21248.88	0.00	0.00	0.00	0.00	0.00	213.20	23.00	0.28	0.000000
	137	1831.80	21248.88	0.00	0.00	0.00	0.00	0.00	213.20	23.00	0.28	0.000000
	138	1831.80	21248.88	0.00	0.00	0.00	0.00	0.00	213.20	23.00	0.28	0.000000
	139	1831.80	21248.88	0.00	0.00	0.00	0.00	0.00	213.20	23.00	0.28	0.000000
	140	1831.80	21248.88	0.00	0.00	0.00	0.00	0.00	213.20	23.00	0.28	0.000000
	141	1787.58	20735.91	0.00	0.00	0.00	0.00	0.00	203.72	23.00	0.30	0.000000
	142	1787.58	20735.91	0.00	0.00	0.00	0.00	0.00	203.72	23.00	0.30	0.000000
	143	1787.58	20735.91	0.00	0.00	0.00	0.00	0.00	203.72	23.00	0.30	0.000000
	144	1787.58	20735.91	0.00	0.00	0.00	0.00	0.00	203.72	23.00	0.30	0.000000
	145	1787.58	20735.91	0.00	0.00	0.00	0.00	0.00	203.72	23.00	0.30	0.000000
	146	1787.58	20735.91	0.00	0.00	0.00	0.00	0.00	203.72	23.00	0.30	0.000000
	147	1787.58	20735.91	0.00	0.00	0.00	0.00	0.00	203.72	23.00	0.30	0.000000
	148	1787.58	20735.91	0.00	0.00	0.00	0.00	0.00	203.72	23.00	0.30	0.000000
	149	1787.58	20735.91	0.00	0.00	0.00	0.00	0.00	203.72	23.00	0.30	0.000000
	150	1787.58	20735.91	0.00	0.00	0.00	0.00	0.00	203.72	23.00	0.30	0.000000
	151	1758.27	20395.93	0.00	0.00	0.00	0.00	0.00	197.40	23.00	0.30	0.000000
	152	1758.27	20395.93	0.00	0.00	0.00	0.00	0.00	197.40	23.00	0.30	0.000000
	153	1758.27	20395.93	0.00	0.00	0.00	0.00	0.00	197.40	23.00	0.30	0.000000
	154	1758.27	20395.93	0.00	0.00	0.00	0.00	0.00	197.40	23.00	0.30	0.000000
	155	1758.27	20395.93	0.00	0.00	0.00	0.00	0.00	197.40	23.00	0.30	0.000000
	156	1758.27	20395.93	0.00	0.00	0.00	0.00	0.00	197.40	23.00	0.30	0.000000
	157	1758.27	20395.93	0.00	0.00	0.00	0.00	0.00	197.40	23.00	0.30	0.000000
	158	1758.27	20395.93	0.00	0.00	0.00	0.00	0.00	197.40	23.00	0.30	0.000000
	159	1758.27	20395.93	0.00	0.00	0.00	0.00	0.00	197.40	23.00	0.30	0.000000
	160	1758.27	20395.93	0.00	0.00	0.00	0.00	0.00	197.40	23.00	0.30	0.000000
	161	1755.78	20367.00	0.00	0.00	0.00	0.00	0.00	197.12	23.00	0.30	0.000000
	162	1755.78	20367.00	0.00	0.00	0.00	0.00	0.00	197.12	23.00	0.30	0.000000
	163	1755.78	20367.00	0.00	0.00	0.00	0.00	0.00	197.12	23.00	0.30	0.000000
	164	1755.78	20367.00	0.00	0.00	0.00	0.00	0.00	197.12	23.00	0.30	0.000000
	165	1755.78	20367.00	0.00	0.00	0.00	0.00	0.00	197.12	23.00	0.30	0.000000
	166	1755.78	20367.00	0.00	0.00	0.00	0.00	0.00	197.12	23.00	0.30	0.000000
	167	1755.78	20367.00	0.00	0.00	0.00	0.00	0.00	197.12	23.00	0.30	0.000000
	168	1755.78	20367.00	0.00	0.00	0.00	0.00	0.00	197.12	23.00	0.30	0.000000
	169	1755.78	20367.00	0.00	0.00	0.00	0.00	0.00	197.12	23.00	0.30	0.000000
	170	1755.78	20367.00	0.00	0.00	0.00	0.00	0.00	197.12	23.00	0.30	0.000000
	171	1752.04	20323.61	0.00	0.00	0.00	0.00	0.00	196.70	23.00	0.30	0.000000
	172	1752.04	20323.61	0.00	0.00	0.00	0.00	0.00	196.70	23.00	0.30	0.000000
	173	1752.04	20323.61	0.00	0.00	0.00	0.00	0.00	196.70	23.00	0.30	0.000000
	174	1752.04	20323.61	0.00	0.00	0.00	0.00	0.00	196.70	23.00	0.30	0.000000
	175	1752.04	20323.61	0.00	0.00	0.00	0.00	0.00	196.70	23.00	0.30	0.000000
	176	1752.04	20323.61	0.00	0.00	0.00	0.00	0.00	196.70	23.00	0.30	0.000000
	177	1752.04	20323.61	0.00	0.00	0.00	0.00	0.00	196.70	23.00	0.30	0.000000
	178	1752.04	20323.61	0.00	0.00	0.00	0.00	0.00	196.70	23.00	0.30	0.000000
	179	1752.04	20323.61	0.00	0.00	0.00	0.00	0.00	196.70	23.00	0.30	0.000000
	180	1752.04	20323.61	0.00	0.00	0.00	0.00	0.00	196.70	23.00	0.30	0.000000
	181	1748.29	20280.21	0.00	0.00	0.00	0.00	0.00	196.28	23.00	0.32	0.000000
	182	1748.29	20280.21	0.00	0.00	0.00	0.00	0.00	196.28	23.00	0.32	0.000000
	183	1748.29	20280.21	0.00	0.00	0.00	0.00	0.00	196.28	23.00	0.32	0.000000
	184	1748.29	20280.21	0.00	0.00	0.00	0.00	0.00	196.28	23.00	0.32	0.000000
	185	1748.29	20280.21	0.00	0.00	0.00	0.00	0.00	196.28	23.00	0.32	0.000000
	186	1748.29	20280.21	0.00	0.00	0.00	0.00	0.00	196.28	23.00	0.32	0.000000
	187	1748.29	20280.21	0.00	0.00	0.00	0.00	0.00	196.28	23.00	0.32	0.000000
	188	1748.29	20280.21	0.00	0.00	0.00	0.00	0.00	196.28	23.00	0.32	0.000000
	189	1748.29	20280.21	0.00	0.00	0.00	0.00	0.00	196.28	23.00	0.32	0.000000
	190	1748.29	20280.21	0.00	0.00	0.00	0.00	0.00	196.28	23.00	0.32	0.000000
	191	1745.80	20251.28	0.00	0.00	0.00	0.00	0.00	196.00	23.00	0.32	0.000000
	192	1745.80	20251.28	0.00	0.00	0.00	0.00	0.00	196.00	23.00	0.32	0.000000
	193	1745.80	20251.28	0.00	0.00	0.00	0.00	0.00	196.00	23.00	0.32	0.000000
	194	1745.80	20251.28	0.00	0.00	0.00	0.00	0.00	196.00	23.00	0.32	0.000000
	195	1745.80	20251.28	0.00	0.00	0.00	0.00	0.00	196.00	23.00	0.32	0.000000
	196	1745.80	20251.28	0.00	0.00	0.00	0.00	0.00	196.00	23.00	0.32	0.000000
	197	1745.80	20251.28	0.00	0.00	0.00	0.00	0.00	196.00	23.00	0.32	0.000000
	198	1745.80	20251.28	0.00	0.00	0.00	0.00	0.00	196.00	23.00	0.32	0.000000
	199	1745.80	20251.28	0.00	0.00	0.00	0.00	0.00	196.00	23.00	0.32	0.000000
	200	1745.80	20251.28	0.00	0.00	0.00	0.00	0.00	196.00	23.00	0.32	0.000000
	201	1702.44	19748.34	0.00	0.00	0.00	0.00	0.00	191.69	23.00	0.32	0.000000
	202	1702.44	19748.34	0.00	0.00	0.00	0.00	0.00	191.69	23.00	0.32	0.000000
	203	1702.44	19748.34	0.00	0.00	0.00	0.00	0.00	191.69	23.00	0.32	0.000000
	204	1702.44	19748.34	0.00	0.00	0.00	0.00	0.00	191.69	23.00	0.32	0.000000
	205	1702.44	19748.34	0.00	0.00	0.00	0.00	0.00	191.69	23.00	0.32	0.000000
	206	1702.44	19748.34	0.00	0.00	0.00	0.00	0.00	191.69	23.00	0.32	0.000000
	207	1702.44	19748.34	0.00	0.00	0.00	0.00	0.00	191.69	23.00	0.32	0.000000
	208	1702.44	19748.34	0.00	0.00	0.00	0.00	0.00	191.69	23.00	0.32	0.000000
	209	1702.44	19748.34	0.00	0.00	0.00	0.00	0.00	191.69	23.00	0.32	0.000000
	210	1702.44	19748.34	0.00	0.00	0.00	0.00	0.00	191.69	23.00	0.32	0.000000
	211	1637.52	18995.24	0.00	0.00	0.00	0.00	0.00	185.23	23.00	0.32	0.000000
	212	1637.52	18995.24	0.00	0.00	0.00	0.00	0.00	185.23	23.00	0.32	0.000000
	213	1637.52	18995.24	0.00	0.00	0.00	0.00	0.00	185.23	23.00	0.32	0.000000
	214	1637.52	18995.24	0.00	0.00	0.00	0.00	0.00	185.23	23.00	0.32	0.000000
	215	1637.52	18995.24	0.00	0.00	0.00	0.00	0.00	185.23	23.00	0.32	0.000000
	216	1637.52	18995.24	0.00	0.00	0.00	0.00	0.00	185.23	23.00	0.32	0.000000
	217	1637.52	18995.24	0.00	0.00	0.00	0.00	0.00	185.23	23.00	0.32	0.000000
	218	1637.52	18995.24	0.00	0.00	0.00	0.00	0.00	185.23	23.00	0.32	0.000000
	219	1637.52	18995.24	0.00	0.00	0.00	0.00	0.00	185.23	23.00	0.32	0.000000
	220	1637.52	18995.24	0.00	0.00	0.00	0.00	0.00	185.23	23.00	0.32	0.000000
	221	1572.73	18243.71	0.00	0.00	0.00	0.00	0.00	178.76	23.00	0.34	0.000000
	222	1572.73	18243.71	0.00	0.00	0.00	0.00	0.00	178.76	23.00	0.34	0.000000
	223	1572.73	18243.71	0.00	0.00	0.00	0.00	0.00	178.76	23.00	0.34	0.000000
	224	1572.73	18243.71	0.00	0.00	0.00	0.00	0.00	178.76	23.00	0.34	0.000000
	225	1572.73	18243.71	0.00	0.00	0.00	0.00	0.00	178.76	23.00	0.34	0.000000
	226	1572.73	18243.71	0.00	0.00	0.00	0.00	0.00	178.76	23.00	0.34	0.000000
	227	1572.73	18243.71	0.00	0.00	0.00	0.00	0.00	178.76	23.00	0.34	0.000000
	228	1572.73	18243.71	0.00	0.00	0.00	0.00	0.00	178.76	23.00	0.34	0.000000
	229	1572.73	18243.71	0.00	0.00	0.00	0.00	0.00	178.76	23.00	0.34	0.000000
	230	1572.73	18243.71	0.00	0.00	0.00	0.00	0.00	178.76	23.00	0.34	0.000000
	231	1508.08	17493.75	0.00	0.00	0.00	0.00	0.00	172.30	23.00	0.34	0.000000
	232	1508.08	17493.75	0.00	0.00	0.00	0.00	0.00	172.30	23.00	0.34	0.000000
	233	1508.08	17493.75	0.00	0.00	0.00	0.00	0.00	172.30	23.00	0.34	0.000000
	234	1508.08	17493.75	0.00	0.00	0.00	0.00	0.00	172.30	23.00	0.34	0.000000
	235	1508.08	17493.75	0.00	0.00	0.00	0.00	0.00	172.30	23.00	0.34	0.000000
	236	1508.08	17493.75	0.00	0.00	0.00	0.00	0.00	172.30	23.00	0.34	0.000000
	237	1508.08	17493.75	0.00	0.00	0.00	0.00	0.00	172.30	23.00	0.34	0.000000
	238	1508.08	17493.75	0.00	0.00	0.00	0.00	0.00	172.30	23.00	0.34	0.000000
	239	1508.08	17493.75	0.00	0.00	0.00	0.00	0.00	172.30	23.00	0.34	0.000000
	240	1508.08	17493.75	0.00	0.00	0.00	0.00	0.00	172.30	23.00	0.34	0.000000
	241	1443.35	16742.87	0.00	0.00	0.00	0.00	0.00	165.81	23.00	0.34	0.000000
	242	1443.35	16742.87	0.00	0.00	0.00	0.00	0.00	165.81	23.00	0.34	0.000000
	243	1443.35	16742.87	0.00	0.00	0.00	0.00	0.00	165.81	23.00	0.34	0.000000
	244	1443.35	16742.87	0.00	0.00	0.00	0.00	0.00	165.81	23.00	0.34	0.000000
	245	1443.35	16742.87	0.00	0.00	0.00	0.00	0.00	165.81	23.00	0.34	0.000000
	246	1443.35	16742.87	0.00	0.00	0.00	0.00	0.00	165.81	23.00	0.34	0.000000
	247	1443.35	16742.87	0.00	0.00	0.00	0.00	0.00	165.81	23.00	0.34	0.000000
